PUMA10,PUMA00,FREQUENCY,SUM_H7V001,PERCPOP10
G01000100,G0100100,8032,147137.00000000000,0.78811430408
G01000100,G0100600,2,0.00000000000,0.00000000000
G01000100,G0100700,3419,39558.00000000000,0.21188569592
G01000200,G0100200,674,8116.00000000000,0.04723520408
G01000200,G0100300,8163,163705.00000000000,0.95276479592
G01000301,G0100200,2036,55076.00000000000,0.46311930308
G01000301,G0100300,1949,63848.00000000000,0.53688069692
G01000302,G0100200,3595,100748.00000000000,0.99237603672
G01000302,G0100300,148,774.00000000000,0.00762396328
G01000400,G0100400,8910,124336.00000000000,1.00000000000
G01000400,G0101100,1,0.00000000000,0.00000000000
G01000500,G0100200,533,10365.00000000000,0.08758291436
G01000500,G0100300,2139,14961.00000000000,0.12641852212
G01000500,G0100500,4364,93019.00000000000,0.78599856352
G01000600,G0100600,7329,153829.00000000000,1.00000000000
G01000700,G0100500,6394,104890.00000000000,1.00000000000
G01000800,G0100800,6650,140915.00000000000,1.00000000000
G01000900,G0101000,5043,104430.00000000000,1.00000000000
G01000900,G0101200,1,0.00000000000,0.00000000000
G01001000,G0101100,12864,160097.00000000000,1.00000000000
G01001100,G0101100,1,4.00000000000,0.00003373478
G01001100,G0101200,6918,118568.00000000000,0.99996626522
G01001200,G0101300,7945,195085.00000000000,1.00000000000
G01001301,G0100901,4,0.00000000000,0.00000000000
G01001301,G0100902,5596,100833.00000000000,1.00000000000
G01001301,G0100904,1,0.00000000000,0.00000000000
G01001302,G0100901,4593,89623.00000000000,0.87781347333
G01001302,G0100903,3,14.00000000000,0.00013712316
G01001302,G0100904,378,12461.00000000000,0.12204940351
G01001303,G0100901,4,27.00000000000,0.00015868818
G01001303,G0100903,5233,170118.00000000000,0.99984131182
G01001303,G0100904,3,0.00000000000,0.00000000000
G01001304,G0100901,1,0.00000000000,0.00000000000
G01001304,G0100904,7268,174673.00000000000,1.00000000000
G01001305,G0100904,1,0.00000000000,0.00000000000
G01001305,G0100905,5652,110717.00000000000,1.00000000000
G01001400,G0100700,5838,54727.00000000000,0.44950308008
G01001400,G0100800,4274,67023.00000000000,0.55049691992
G01001500,G0100700,1481,19746.00000000000,0.19028070886
G01001500,G0101400,5216,84027.00000000000,0.80971929115
G01001600,G0101400,3788,110629.00000000000,1.00000000000
G01001700,G0100700,1223,13763.00000000000,0.10051781684
G01001700,G0101500,10384,123157.00000000000,0.89947487968
G01001700,G0102100,3,1.00000000000,0.00000730348
G01001800,G0101600,9129,130983.00000000000,0.99977101509
G01001800,G0101800,4,30.00000000000,0.00022898491
G01001800,G1302900,1,0.00000000000,0.00000000000
G01001900,G0101700,4044,140182.00000000000,0.99953653198
G01001900,G0101800,15,65.00000000000,0.00046346802
G01002000,G0101900,3376,189444.00000000000,0.96392481708
G01002000,G0102000,505,7090.00000000000,0.03607518292
G01002100,G0101900,510,14407.00000000000,0.08093729284
G01002100,G0102000,6799,152296.00000000000,0.85558589229
G01002100,G0102100,1270,11299.00000000000,0.06347681487
G01002200,G0101500,3,0.00000000000,0.00000000000
G01002200,G0102100,12430,143558.00000000000,1.00000000000
G01002300,G0101800,2776,34853.00000000000,0.28436107893
G01002300,G0102100,1,0.00000000000,0.00000000000
G01002300,G0102500,5593,87713.00000000000,0.71563892107
G01002400,G0101700,2,2.00000000000,0.00001372976
G01002400,G0101800,8577,145667.00000000000,0.99998627024
G01002500,G0101800,1445,17302.00000000000,0.08832508040
G01002500,G0102500,2414,26786.00000000000,0.13674000715
G01002500,G0102600,7228,151802.00000000000,0.77493491245
G01002600,G0102400,8295,182265.00000000000,1.00000000000
G01002701,G0102200,3988,90451.00000000000,0.81660271747
G01002701,G0102300,1175,20314.00000000000,0.18339728254
G01002702,G0102200,3059,96985.00000000000,0.90399403458
G01002702,G0102300,343,10300.00000000000,0.09600596542
G01002703,G0102200,258,2934.00000000000,0.01505063044
G01002703,G0102300,10377,192008.00000000000,0.98494936956
G02000101,G0200101,2182,132542.00000000000,1.00000000000
G02000102,G0200102,2063,159284.00000000000,1.00000000000
G02000200,G0200200,7619,144395.00000000000,1.00000000000
G02000300,G0200200,1,0.00000000000,0.00000000000
G02000300,G0200300,10306,163327.00000000000,0.99407790627
G02000300,G0200400,257,973.00000000000,0.00592209373
G02000400,G0200300,518,8881.00000000000,0.08094977668
G02000400,G0200400,12160,100829.00000000000,0.91905022332
G04000100,G0400120,19,472.00000000000,0.00424143849
G04000100,G0400121,2081,110811.00000000000,0.99575856151
G04000100,G0400800,1,0.00000000000,0.00000000000
G04000101,G0400114,1329,52193.00000000000,0.35674349300
G04000101,G0400121,9,0.00000000000,0.00000000000
G04000101,G0400122,2166,94111.00000000000,0.64325650700
G04000102,G0400106,1,0.00000000000,0.00000000000
G04000102,G0400114,1849,107175.00000000000,0.81742466422
G04000102,G0400115,405,23938.00000000000,0.18257533578
G04000103,G0400114,38,3390.00000000000,0.03195370013
G04000103,G0400115,1304,102701.00000000000,0.96804629988
G04000103,G0400116,3,0.00000000000,0.00000000000
G04000104,G0400114,1126,34733.00000000000,0.34653643157
G04000104,G0400115,172,16415.00000000000,0.16377495535
G04000104,G0400122,793,49081.00000000000,0.48968861308
G04000105,G0400120,41,2839.00000000000,0.02098005454
G04000105,G0400121,1848,132480.00000000000,0.97901994546
G04000106,G0400120,1469,111536.00000000000,0.97807709846
G04000106,G0400121,29,2500.00000000000,0.02192290154
G04000107,G0400120,1699,100430.00000000000,1.00000000000
G04000108,G0400115,6,0.00000000000,0.00000000000
G04000108,G0400116,925,63837.00000000000,0.63174926768
G04000108,G0400119,11,0.00000000000,0.00000000000
G04000108,G0400120,619,37211.00000000000,0.36825073233
G04000109,G0400106,3,0.00000000000,0.00000000000
G04000109,G0400113,3,0.00000000000,0.00000000000
G04000109,G0400115,1,0.00000000000,0.00000000000
G04000109,G0400116,1514,102150.00000000000,1.00000000000
G04000109,G0400117,14,0.00000000000,0.00000000000
G04000110,G0400105,857,33777.00000000000,0.28879597804
G04000110,G0400106,1419,83181.00000000000,0.71120402196
G04000110,G0400107,12,0.00000000000,0.00000000000
G04000110,G0400113,10,0.00000000000,0.00000000000
G04000111,G0400105,1408,87896.00000000000,0.83808652040
G04000111,G0400106,1862,16981.00000000000,0.16191347960
G04000112,G0400103,31,21.00000000000,0.00019909365
G04000112,G0400104,1099,51916.00000000000,0.49219742506
G04000112,G0400105,1428,53541.00000000000,0.50760348130
G04000113,G0400104,1017,57994.00000000000,0.56751705174
G04000113,G0400105,1,0.00000000000,0.00000000000
G04000113,G0400107,869,44195.00000000000,0.43248294826
G04000114,G0400104,499,46022.00000000000,0.44406063355
G04000114,G0400107,737,44883.00000000000,0.43307056224
G04000114,G0400112,222,12734.00000000000,0.12286880422
G04000115,G0400104,589,43878.00000000000,0.43120375011
G04000115,G0400107,580,44822.00000000000,0.44048075317
G04000115,G0400112,164,13057.00000000000,0.12831549672
G04000116,G0400107,70,6419.00000000000,0.06405420509
G04000116,G0400112,1115,93793.00000000000,0.93594579492
G04000117,G0400113,1350,97283.00000000000,0.96852972801
G04000117,G0400117,56,3161.00000000000,0.03147027199
G04000118,G0400112,419,24792.00000000000,0.22804790551
G04000118,G0400113,3,1410.00000000000,0.01296981070
G04000118,G0400116,1,0.00000000000,0.00000000000
G04000118,G0400117,1794,74690.00000000000,0.68703202899
G04000118,G0400118,228,7822.00000000000,0.07195025480
G04000119,G0400117,868,60884.00000000000,0.57702295430
G04000119,G0400118,203,23428.00000000000,0.22203688610
G04000119,G0400119,345,21202.00000000000,0.20094015960
G04000120,G0400119,1365,100182.00000000000,1.00000000000
G04000121,G0400110,290,21087.00000000000,0.17040688513
G04000121,G0400111,146,6545.00000000000,0.05289102590
G04000121,G0400118,968,61265.00000000000,0.49509071074
G04000121,G0400119,653,34848.00000000000,0.28161137824
G04000122,G0400111,454,44963.00000000000,0.43098143338
G04000122,G0400112,57,5574.00000000000,0.05342816337
G04000122,G0400118,542,53790.00000000000,0.51559040325
G04000123,G0400109,4,0.00000000000,0.00000000000
G04000123,G0400111,902,84198.00000000000,0.77670565662
G04000123,G0400118,254,24206.00000000000,0.22329434338
G04000124,G0400109,1413,100367.00000000000,1.00000000000
G04000124,G0400111,2,0.00000000000,0.00000000000
G04000125,G0400103,736,61676.00000000000,0.60507004670
G04000125,G0400108,1,0.00000000000,0.00000000000
G04000125,G0400111,370,34644.00000000000,0.33987364125
G04000125,G0400112,44,5612.00000000000,0.05505631205
G04000126,G0400103,57,3124.00000000000,0.02563997341
G04000126,G0400108,1677,113505.00000000000,0.93158296468
G04000126,G0400109,88,5212.00000000000,0.04277706191
G04000127,G0400101,1,0.00000000000,0.00000000000
G04000127,G0400102,1677,110162.00000000000,0.97104374730
G04000127,G0400108,2,0.00000000000,0.00000000000
G04000127,G0400109,67,3285.00000000000,0.02895625270
G04000128,G0400102,5,0.00000000000,0.00000000000
G04000128,G0400103,1529,103065.00000000000,1.00000000000
G04000129,G0400101,67,2259.00000000000,0.02134797482
G04000129,G0400102,751,33160.00000000000,0.31336823603
G04000129,G0400103,1564,66904.00000000000,0.63225538188
G04000129,G0400104,58,3495.00000000000,0.03302840727
G04000130,G0400101,1675,75717.00000000000,0.65148594930
G04000130,G0400102,33,2886.00000000000,0.02483178744
G04000130,G0400109,425,29812.00000000000,0.25650909466
G04000130,G0400110,156,7807.00000000000,0.06717316859
G04000131,G0400101,554,27457.00000000000,0.26518253815
G04000131,G0400110,1048,76083.00000000000,0.73481746185
G04000132,G0400109,772,28101.00000000000,0.27396632577
G04000132,G0400110,1661,74470.00000000000,0.72603367424
G04000133,G0400109,55,4277.00000000000,0.04112935022
G04000133,G0400110,1309,88197.00000000000,0.84813778380
G04000133,G0400111,131,11515.00000000000,0.11073286598
G04000134,G0400101,3210,39106.00000000000,0.35589086475
G04000134,G0400110,7222,70776.00000000000,0.64410913525
G04000201,G0400207,5224,101172.00000000000,1.00000000000
G04000202,G0400204,267,18231.00000000000,0.15808915982
G04000202,G0400205,248,10805.00000000000,0.09369499050
G04000202,G0400207,1458,86285.00000000000,0.74821584967
G04000203,G0400205,1450,109462.00000000000,1.00000000000
G04000204,G0400203,1504,104334.00000000000,0.99904245744
G04000204,G0400204,2,0.00000000000,0.00000000000
G04000204,G0400205,1,0.00000000000,0.00000000000
G04000204,G0400206,3,100.00000000000,0.00095754256
G04000205,G0400206,2355,88432.00000000000,0.72316310259
G04000205,G0400207,791,33853.00000000000,0.27683689741
G04000205,G0400900,1,0.00000000000,0.00000000000
G04000206,G0400202,284,20175.00000000000,0.19748627140
G04000206,G0400203,1,0.00000000000,0.00000000000
G04000206,G0400204,726,51395.00000000000,0.50308832310
G04000206,G0400206,382,30589.00000000000,0.29942540550
G04000207,G0400201,774,31737.00000000000,0.31136990199
G04000207,G0400204,942,70190.00000000000,0.68863009801
G04000208,G0400201,1817,108063.00000000000,1.00000000000
G04000208,G0400206,3,0.00000000000,0.00000000000
G04000209,G0400201,2,0.00000000000,0.00000000000
G04000209,G0400202,1243,83982.00000000000,0.72749480250
G04000209,G0400206,507,31458.00000000000,0.27250519751
G04000300,G0400300,44949,178967.00000000000,1.00000000000
G04000400,G0400400,20267,134421.00000000000,1.00000000000
G04000500,G0400500,12462,211033.00000000000,1.00000000000
G04000600,G0400600,20473,220675.00000000000,1.00000000000
G04000700,G0400700,9275,195751.00000000000,1.00000000000
G04000800,G0400800,6397,64457.00000000000,0.58536607516
G04000800,G0400900,5382,45657.00000000000,0.41463392484
G04000803,G0400800,3922,123512.00000000000,1.00000000000
G04000805,G0400205,1,0.00000000000,0.00000000000
G04000805,G0400800,6535,114145.00000000000,1.00000000000
G04000807,G0400800,7473,127253.00000000000,1.00000000000
G04000900,G0400900,11817,178766.00000000000,1.00000000000
G05000100,G0500100,6969,221339.00000000000,1.00000000000
G05000100,G0500200,7,0.00000000000,0.00000000000
G05000200,G0500100,6,93.00000000000,0.00045798143
G05000200,G0500200,6837,202972.00000000000,0.99954201857
G05000300,G0500300,13957,154757.00000000000,1.00000000000
G05000400,G0500300,1,0.00000000000,0.00000000000
G05000400,G0500400,14469,135509.00000000000,0.99998524105
G05000400,G0500500,1,0.00000000000,0.00000000000
G05000400,G0501200,1,2.00000000000,0.00001475895
G05000400,G2902300,1,0.00000000000,0.00000000000
G05000500,G0500500,10624,180287.00000000000,1.00000000000
G05000600,G0500500,1062,9713.00000000000,0.09069517718
G05000600,G0500600,6387,97382.00000000000,0.90930482282
G05000700,G0500700,9791,102892.00000000000,0.92661269261
G05000700,G0500800,1452,8149.00000000000,0.07338730739
G05000800,G0500400,2,0.00000000000,0.00000000000
G05000800,G0500800,8157,111048.00000000000,1.00000000000
G05000800,G0501100,1,0.00000000000,0.00000000000
G05000900,G0500900,259,10307.00000000000,0.05212769186
G05000900,G0501000,5748,187419.00000000000,0.94787230814
G05001000,G0500900,5625,181821.00000000000,0.98269935467
G05001000,G0501000,226,3201.00000000000,0.01730064533
G05001000,G0501100,1,0.00000000000,0.00000000000
G05001100,G0501100,6322,181593.00000000000,1.00000000000
G05001200,G0501000,1,0.00000000000,0.00000000000
G05001200,G0501100,3989,107118.00000000000,1.00000000000
G05001300,G0501200,11147,141197.00000000000,1.00000000000
G05001400,G0501300,7106,187692.00000000000,1.00000000000
G05001500,G0501400,11804,103216.00000000000,0.99996124782
G05001500,G0501500,1,4.00000000000,0.00003875218
G05001600,G0501400,1,0.00000000000,0.00000000000
G05001600,G0501500,12372,161429.00000000000,1.00000000000
G05001600,G0501900,2,0.00000000000,0.00000000000
G05001700,G0500800,1,0.00000000000,0.00000000000
G05001700,G0501600,8043,106729.00000000000,1.00000000000
G05001800,G0501600,1351,7578.00000000000,0.07077017903
G05001800,G0501700,10386,99501.00000000000,0.92922982097
G05001800,G2200500,1,0.00000000000,0.00000000000
G05001900,G0501800,11364,105795.00000000000,1.00000000000
G05001900,G0501900,4,0.00000000000,0.00000000000
G05002000,G0501900,10732,107175.00000000000,1.00000000000
G05002000,G4801100,4,0.00000000000,0.00000000000
G06000101,G0602401,2058,131119.00000000000,1.00000000000
G06000102,G0602402,2923,158091.00000000000,1.00000000000
G06000102,G0602403,1,0.00000000000,0.00000000000
G06000103,G0602403,2024,125220.00000000000,0.99992813166
G06000103,G0602405,1,0.00000000000,0.00000000000
G06000103,G0602406,1,9.00000000000,0.00007186834
G06000104,G0602404,1551,124571.00000000000,0.99970306882
G06000104,G0602405,2,37.00000000000,0.00029693118
G06000105,G0602403,2,0.00000000000,0.00000000000
G06000105,G0602404,2,493.00000000000,0.00301466362
G06000105,G0602405,2857,163041.00000000000,0.99698533638
G06000105,G0602406,2,0.00000000000,0.00000000000
G06000106,G0602405,3,0.00000000000,0.00000000000
G06000106,G0602406,1666,134752.00000000000,1.00000000000
G06000107,G0602407,1965,145655.00000000000,1.00000000000
G06000108,G0602408,2013,135402.00000000000,1.00000000000
G06000109,G0602409,2192,189764.00000000000,1.00000000000
G06000109,G0602410,1,0.00000000000,0.00000000000
G06000110,G0602105,1,0.00000000000,0.00000000000
G06000110,G0602410,4583,202117.00000000000,1.00000000000
G06000300,G0601700,11,0.00000000000,0.00000000000
G06000300,G0601800,19698,191208.00000000000,1.00000000000
G06000701,G0600600,2145,111389.00000000000,1.00000000000
G06000702,G0600600,4372,108611.00000000000,1.00000000000
G06001100,G0600500,13544,126790.00000000000,1.00000000000
G06001100,G0600600,1,0.00000000000,0.00000000000
G06001301,G0602101,2019,114768.00000000000,0.99992158708
G06001301,G0602102,1,9.00000000000,0.00007841292
G06001302,G0602101,196,15971.00000000000,0.13458216413
G06001302,G0602102,1462,102700.00000000000,0.86541783587
G06001303,G0602102,812,17450.00000000000,0.13461909354
G06001303,G0602103,1731,91188.00000000000,0.70347540984
G06001303,G0602106,178,20987.00000000000,0.16190549663
G06001304,G0602103,3,131.00000000000,0.00111220539
G06001304,G0602104,1722,100080.00000000000,0.84969095972
G06001304,G0602105,273,17573.00000000000,0.14919683488
G06001304,G0602403,1,0.00000000000,0.00000000000
G06001305,G0602105,1821,124585.00000000000,1.00000000000
G06001306,G0602103,149,13212.00000000000,0.11774246732
G06001306,G0602104,836,48789.00000000000,0.43479694504
G06001306,G0602106,877,50210.00000000000,0.44746058764
G06001307,G0602103,310,3281.00000000000,0.02723409200
G06001307,G0602106,717,41216.00000000000,0.34211531119
G06001307,G0602107,1090,75977.00000000000,0.63065059681
G06001308,G0602106,369,17895.00000000000,0.16691072911
G06001308,G0602107,543,34119.00000000000,0.31823566172
G06001308,G0602108,661,55199.00000000000,0.51485360917
G06001309,G0602108,2373,103685.00000000000,1.00000000000
G06001500,G0600100,23054,118091.00000000000,0.85512462165
G06001500,G0600700,4733,20007.00000000000,0.14487537836
G06001700,G0601700,5808,181058.00000000000,1.00000000000
G06001700,G0601800,2,0.00000000000,0.00000000000
G06001901,G0603301,7,42.00000000000,0.00029020757
G06001901,G0603401,9029,144682.00000000000,0.99970979243
G06001902,G0603302,1910,150727.00000000000,0.86798309262
G06001902,G0603401,56,2410.00000000000,0.01387833138
G06001902,G0603402,390,20515.00000000000,0.11813857600
G06001903,G0603301,953,84276.00000000000,0.82720848057
G06001903,G0603402,312,17604.00000000000,0.17279151944
G06001904,G0603301,2374,149345.00000000000,0.87777712472
G06001904,G0603401,343,15356.00000000000,0.09025508405
G06001904,G0603402,143,5439.00000000000,0.03196779123
G06001905,G0603301,1150,93459.00000000000,0.86394520092
G06001905,G0603402,394,14718.00000000000,0.13605479908
G06001906,G0603301,9,812.00000000000,0.00791099160
G06001906,G0603302,4,0.00000000000,0.00000000000
G06001906,G0603402,1365,101830.00000000000,0.99208900840
G06001907,G0603402,3658,129238.00000000000,1.00000000000
G06002300,G0600200,9597,134623.00000000000,1.00000000000
G06002500,G0608200,8875,174528.00000000000,1.00000000000
G06002901,G0603800,158,10363.00000000000,0.05455301587
G06002901,G0603901,9471,154390.00000000000,0.81274149567
G06002901,G0603903,935,25209.00000000000,0.13270548847
G06002901,G0606101,3,0.00000000000,0.00000000000
G06002902,G0603800,1874,173165.00000000000,0.86422618156
G06002902,G0603903,576,27205.00000000000,0.13577381844
G06002903,G0603800,1882,88039.00000000000,0.56746635384
G06002903,G0603903,1150,67105.00000000000,0.43253364616
G06002904,G0603800,559,57588.00000000000,0.53396383867
G06002904,G0603902,277,20585.00000000000,0.19086694483
G06002904,G0603903,547,29677.00000000000,0.27516921650
G06002905,G0603800,40,143.00000000000,0.00076755857
G06002905,G0603902,16592,152249.00000000000,0.81720297362
G06002905,G0603903,1211,33896.00000000000,0.18193821959
G06002905,G0606101,6,17.00000000000,0.00009124822
G06003100,G0603600,6188,152982.00000000000,1.00000000000
G06003300,G0600400,13330,152506.00000000000,1.00000000000
G06003300,G0600500,1,0.00000000000,0.00000000000
G06003701,G0603902,19,0.00000000000,0.00000000000
G06003701,G0604406,3,2.00000000000,0.00001430605
G06003701,G0604500,104,3884.00000000000,0.02778234777
G06003701,G0604600,180,2178.00000000000,0.01557928770
G06003701,G0604700,151,12164.00000000000,0.08700939192
G06003701,G0605401,4,0.00000000000,0.00000000000
G06003701,G0606101,7259,121573.00000000000,0.86961466656
G06003701,G0606105,1,0.00000000000,0.00000000000
G06003701,G0606106,1,0.00000000000,0.00000000000
G06003701,G0606601,9,0.00000000000,0.00000000000
