socp00,socp10,Total Conversion Rate
113040,113111,0.0872
113040,113121,0.7679
113040,113131,0.1449
119061,119XXX,0.0771
119061,394031,0.9229
131041,131041,0.9999
131041,339093,0.0001
131070,131070,0.7645
131070,131141,0.0950
131070,131151,0.1405
131XXX,119161,0.0185
131XXX,131121,0.0063
131XXX,131161,0.0130
131XXX,131199,0.9622
1510XX,151111,0.0359
1510XX,151121,0.7132
1510XX,151143,0.0066
1510XX,151199,0.2443
151081,151122,0.0230
151081,151134,0.6786
151081,151150,0.0435
151081,151142,0.1427
151081,151143,0.1122
193020,131161,0.9782
193020,1930XX,0.0218
1940XX,1940YY,0.9968
1940XX,1940XX,0.0032
211090,211092,0.2878
211090,211093,0.3503
211090,21109X,0.3619
2310XX,2310XX,0.9880
2310XX,231012,0.0120
232090,231012,0.0437
232090,232011,0.0772
232090,232090,0.8791
273031,131121,0.0061
273031,131161,0.0450
273031,273031,0.9489
291111,291141,0.7363
291111,291151,0.0332
291111,2911XX,0.2305
292090,292050,0.0367
292090,292090,0.9633
31909X,319092,0.5448
31909X,319094,0.1431
31909X,319095,0.0920
31909X,319096,0.0463
31909X,319097,0.0638
31909X,31909X,0.1099
339030,339030,0.9728
339030,339093,0.0272
33909X,339093,0.0001
33909X,33909X,0.9999
396030,532031,0.9286
396030,536061,0.0714
419099,131131,0.7034
419099,419099,0.2966
439XXX,433099,0.0892
439XXX,439XXX,0.9108
451010,131070,0.0001
451010,451011,0.9999
472111,472111,0.9999
472111,47XXXX,0.0001
472181,472181,0.9999
472181,47XXXX,0.0001
499021,47XXXX,0.0001
499021,499021,0.9999
49909X,47XXXX,0.0001
49909X,49909X,0.9999
515021,515112,0.9999
515021,515113,0.0001
5191XX,513099,0.1162
5191XX,5191XX,0.8838
