SOCP00,SOCP10,Total Conversion Rate
113040,113111,0.0628
113040,113121,0.7954
113040,113131,0.1418
119061,119XXX,0.1630
119061,394031,0.8370
131041,131041,0.9999
131041,339093,0.0001
131070,131070,0.7665
131070,131141,0.0773
131070,131151,0.1562
131XXX,119161,0.0255
131XXX,131121,0.0019
131XXX,131161,0.0097
131XXX,131199,0.9628
1510XX,151111,0.0380
1510XX,151121,0.6701
1510XX,151143,0.0244
1510XX,151199,0.2675
151081,151122,0.0194
151081,151134,0.3791
151081,151150,0.0482
151081,151142,0.1926
151081,151143,0.3608
193020,131161,0.9733
193020,1930XX,0.0267
1940XX,1940YY,0.9904
1940XX,1940XX,0.0096
211090,211092,0.5014
211090,211093,0.2287
211090,21109X,0.2699
2310XX,2310XX,0.9938
2310XX,231012,0.0062
232090,231012,0.0330
232090,232011,0.1115
232090,232090,0.8556
273031,131121,0.0089
273031,131161,0.0308
273031,273031,0.9603
291111,291141,0.6926
291111,291151,0.1777
291111,2911XX,0.1297
292090,292050,0.0607
292090,292090,0.9393
31909X,319092,0.5227
31909X,319094,0.0551
31909X,319095,0.1226
31909X,319096,0.0743
31909X,319097,0.1120
31909X,31909X,0.1134
339030,339030,0.9642
339030,339093,0.0358
33909X,339093,0.0001
33909X,33909X,0.9999
396030,532031,0.5893
396030,536061,0.4107
419099,131131,0.4286
419099,419099,0.5714
439XXX,433099,0.2758
439XXX,439XXX,0.7242
451010,131070,0.0001
451010,451011,0.9999
472111,472111,0.9999
472111,47XXXX,0.0001
472181,472181,0.9999
472181,47XXXX,0.0001
499021,47XXXX,0.0001
499021,499021,0.9999
49909X,47XXXX,0.0001
49909X,49909X,0.9999
515021,515112,0.9999
515021,515113,0.0001
5191XX,513099,0.0938
5191XX,5191XX,0.9062
