socp00,socp10,Total Conversion Rate
113040,113111,0.1130
113040,113121,0.8012
113040,113131,0.0858
119061,119XXX,0.1416
119061,394031,0.8584
131041,131041,0.9999
131041,339093,0.0001
131070,131070,0.7336
131070,131141,0.1587
131070,131151,0.1077
131XXX,119161,0.0068
131XXX,131121,0.0091
131XXX,131161,0.0068
131XXX,131199,0.9773
1510XX,151111,0.0115
1510XX,151121,0.6735
1510XX,151143,0.0094
1510XX,151199,0.3055
151081,151122,0.0109
151081,151134,0.6604
151081,151150,0.0711
151081,151142,0.1563
151081,151143,0.1013
193020,131161,0.9743
193020,1930XX,0.0257
1940XX,1940YY,0.9834
1940XX,1940XX,0.0166
211090,211092,0.2447
211090,211093,0.5295
211090,21109X,0.2258
2310XX,2310XX,0.9999
2310XX,231012,0.0001
232090,231012,0.0007
232090,232011,0.0628
232090,232090,0.9366
273031,131121,0.0146
273031,131161,0.0326
273031,273031,0.9528
291111,291141,1.0000
291111,291151,0.0000
291111,2911XX,0.0000
292090,292050,0.0882
292090,292090,0.9118
31909X,319092,0.5629
31909X,319094,0.1202
31909X,319095,0.0428
31909X,319096,0.0507
31909X,319097,0.1183
31909X,31909X,0.1051
339030,339030,0.9649
339030,339093,0.0351
33909X,339093,0.0026
33909X,33909X,0.9974
396030,532031,0.8841
396030,536061,0.1159
419099,131131,0.3512
419099,419099,0.6488
439XXX,433099,0.0852
439XXX,439XXX,0.9148
451010,131070,0.0001
451010,451011,0.9999
472111,472111,0.9999
472111,47XXXX,0.0001
472181,472181,0.9999
472181,47XXXX,0.0001
499021,47XXXX,0.0001
499021,499021,0.9999
49909X,47XXXX,0.0001
49909X,49909X,0.9999
515021,515112,0.9999
515021,515113,0.0001
5191XX,513099,0.1140
5191XX,5191XX,0.8860
