SOCP00,SOCP10,Total Conversion Rate
113040,113111,0.0468
113040,113121,0.8123
113040,113131,0.1408
119061,119XXX,0.1058
119061,394031,0.8942
131041,131041,0.9999
131041,339093,0.0001
131070,131070,0.7520
131070,131141,0.0659
131070,131151,0.1822
131XXX,119161,0.0247
131XXX,131121,0.0037
131XXX,131161,0.0058
131XXX,131199,0.9657
1510XX,151111,0.0103
1510XX,151121,0.5331
1510XX,151143,0.0208
1510XX,151199,0.4357
151081,151122,0.0101
151081,151134,0.4102
151081,151150,0.0956
151081,151142,0.1707
151081,151143,0.3135
193020,131161,0.9740
193020,1930XX,0.0260
1940XX,1940YY,0.9715
1940XX,1940XX,0.0285
211090,211092,0.4740
211090,211093,0.2888
211090,21109X,0.2372
2310XX,2310XX,0.9999
2310XX,231012,0.0001
232090,231012,0.0007
232090,232011,0.1196
232090,232090,0.8798
273031,131121,0.0144
273031,131161,0.0296
273031,273031,0.9561
291111,291141,1.0000
291111,291151,0.0000
291111,2911XX,0.0000
292090,292050,0.0513
292090,292090,0.9487
31909X,319092,0.2790
31909X,319094,0.0210
31909X,319095,0.1367
31909X,319096,0.0946
31909X,319097,0.1532
31909X,31909X,0.3156
339030,339030,0.9770
339030,339093,0.0230
33909X,339093,0.0011
33909X,33909X,0.9989
396030,532031,0.7700
396030,536061,0.2300
419099,131131,0.1523
419099,419099,0.8477
439XXX,433099,0.1361
439XXX,439XXX,0.8639
451010,131070,0.0001
451010,451011,0.9999
472111,472111,0.9998
472111,47XXXX,0.0002
472181,472181,0.9999
472181,47XXXX,0.0001
499021,47XXXX,0.0005
499021,499021,0.9995
49909X,47XXXX,0.0001
49909X,49909X,0.9999
515021,515112,0.9984
515021,515113,0.0016
5191XX,513099,0.0858
5191XX,5191XX,0.9142
