socp00,socp10,Total Conversion Rate
113040,113111,0.1102
113040,113121,0.8256
113040,113131,0.0643
119061,119XXX,0.2300
119061,394031,0.7700
131041,131041,0.9978
131041,339093,0.0022
131070,131070,0.6949
131070,131141,0.1748
131070,131151,0.1303
131XXX,119161,0.0008
131XXX,131121,0.0069
131XXX,131161,0.0028
131XXX,131199,0.9894
1510XX,151111,0.0107
1510XX,151121,0.6500
1510XX,151143,0.0021
1510XX,151199,0.3372
151081,151122,0.0001
151081,151134,0.5669
151081,151150,0.1129
151081,151142,0.2218
151081,151143,0.0983
193020,131161,0.9348
193020,1930XX,0.0652
1940XX,1940YY,0.9935
1940XX,1940XX,0.0065
211090,211092,0.0669
211090,211093,0.7107
211090,21109X,0.2224
2310XX,2310XX,0.9999
2310XX,231012,0.0001
232090,231012,0.0029
232090,232011,0.0236
232090,232090,0.9735
273031,131121,0.0055
273031,131161,0.0678
273031,273031,0.9268
291111,291141,1.0000
291111,291151,0.0000
291111,2911XX,0.0000
292090,292050,0.0680
292090,292090,0.9320
31909X,319092,0.4481
31909X,319094,0.0661
31909X,319095,0.0627
31909X,319096,0.0595
31909X,319097,0.0848
31909X,31909X,0.2787
339030,339030,0.9687
339030,339093,0.0313
33909X,339093,0.0060
33909X,33909X,0.9940
396030,532031,0.4267
396030,536061,0.5733
419099,131131,0.0841
419099,419099,0.9159
439XXX,433099,0.0859
439XXX,439XXX,0.9141
451010,131070,0.0064
451010,451011,0.9936
472111,472111,0.9999
472111,47XXXX,0.0001
472181,472181,0.9999
472181,47XXXX,0.0001
499021,47XXXX,0.0001
499021,499021,0.9999
49909X,47XXXX,0.0001
49909X,49909X,0.9999
515021,515112,0.9940
515021,515113,0.0060
5191XX,513099,0.1413
5191XX,5191XX,0.8587
