socp00,socp10,Total Conversion Rate
113040,113111,0.0046
113040,113121,0.8955
113040,113131,0.1000
119061,119XXX,0.1889
119061,394031,0.8111
131041,131041,0.9999
131041,339093,0.0001
131070,131070,0.7243
131070,131141,0.0388
131070,131151,0.2369
131XXX,119161,0.0048
131XXX,131121,0.0058
131XXX,131161,0.0001
131XXX,131199,0.9893
1510XX,151111,0.0053
1510XX,151121,0.3830
1510XX,151143,0.0145
1510XX,151199,0.5972
151081,151122,0.0061
151081,151134,0.4175
151081,151150,0.0897
151081,151142,0.2180
151081,151143,0.2688
193020,131161,0.8906
193020,1930XX,0.1094
1940XX,1940YY,0.9561
1940XX,1940XX,0.0439
211090,211092,0.2290
211090,211093,0.4754
211090,21109X,0.2957
2310XX,2310XX,0.9999
2310XX,231012,0.0001
232090,231012,0.0018
232090,232011,0.0256
232090,232090,0.9726
273031,131121,0.0157
273031,131161,0.0514
273031,273031,0.9328
291111,291141,1.0000
291111,291151,0.0000
291111,2911XX,0.0000
292090,292050,0.0658
292090,292090,0.9342
31909X,319092,0.1636
31909X,319094,0.0025
31909X,319095,0.0532
31909X,319096,0.1416
31909X,319097,0.0677
31909X,31909X,0.5714
339030,339030,0.9933
339030,339093,0.0067
33909X,339093,0.0001
33909X,33909X,0.9999
396030,532031,0.3660
396030,536061,0.6340
419099,131131,0.0540
419099,419099,0.9460
439XXX,433099,0.0673
439XXX,439XXX,0.9327
451010,131070,0.0075
451010,451011,0.9925
472111,472111,0.9998
472111,47XXXX,0.0002
472181,472181,0.9999
472181,47XXXX,0.0001
499021,47XXXX,0.0002
499021,499021,0.9998
49909X,47XXXX,0.0006
49909X,49909X,0.9994
515021,515112,0.9972
515021,515113,0.0028
5191XX,513099,0.1054
5191XX,5191XX,0.8946
